Section584,C_D,636,5125,10,0.968,0.974828
Section3753,D_C,2188,3086,84,0.872,0.853547
Section1172,C_D,3459,6513,25,0.41,0.28833
Section3847,D_C,1976,3086,89,0.906,0.871854
Section4139,D_C,1872,2920,97,0.993,0.997712
Section1292,C_D,1706,4776,21,0.603,0.546911
Section3806,D_C,1952,3037,100,0.933,0.919908
Section778,D_C,2638,3150,43,0.48,0.469108
Section835,C_C,12697,3509,63,0.56,0.590389
Section700,D_D,2654,3767,25,0.51,0.491991
Section3840,D_C,1874,5900,91,0.949,0.942792
Section3757,D_C,2310,2938,77,0.737,0.7254
Section1212,C_D,6943,4408,62,0.808,0.800915
Section768,D_C,2564,4171,52,0.489,0.347826
Section1257,C_D,1631,3287,21,0.838,0.823799
Section1281,C_D,777,4489,30,0.755,0.798627
Section975,C_D,1579,6066,17,0.553,0.537757
Section852,C_C,5571,3498,67,0.943,0.954233
Section537,C_D,2102,7540,18,0.654,0.631579
Section4133,D_C,1976,3775,90,0.859,0.87643
Section732,D_C,5516,3143,61,0.606,0.510297
Section719,D_C,10716,4964,61,0.412,0.354691
Section776,D_C,11810,3795,63,0.444,0.425629
Section1176,C_C,3039,5167,28,0.609,0.540046
Section1132,C_D,2298,7253,25,0.714,0.677346
Section1401,C_D,1224,3677,19,0.512,0.503433
Section999,C_D,5065,4940,60,0.367,0.306636
Section1842,B_C,5478,3764,49,0.689,0.704805
Section970,C_D,5500,4306,32,0.464,0.462243
Section583,C_D,3505,6808,31,0.524,0.517162
