Section719,D_C,10716,4964,61,0.409,0.352403
Section1292,C_D,1706,4776,21,0.597,0.556064
Section4139,D_C,1872,2920,97,0.993,0.997712
Section715,D_C,10785,2987,53,0.365,0.334096
Section1132,C_D,2298,7253,25,0.715,0.677346
Section1212,C_D,6943,4408,62,0.808,0.800915
Section700,D_D,2654,3767,25,0.509,0.491991
Section760,D_C,2503,4588,41,0.35,0.350114
Section1172,C_D,3459,6513,25,0.418,0.329519
Section999,C_D,5065,4940,60,0.366,0.345538
Section584,C_D,636,5125,10,0.968,0.974828
Section4133,D_C,1976,3775,90,0.859,0.87643
Section778,D_C,2638,3150,43,0.472,0.480549
Section3757,D_C,2310,2938,77,0.739,0.7254
Section970,C_D,5500,4306,32,0.461,0.457666
Section3847,D_C,1976,3086,89,0.906,0.871854
Section852,C_C,5571,3498,67,0.943,0.954233
Section835,C_C,12697,3509,63,0.559,0.590389
Section1176,C_C,3039,5167,28,0.608,0.540046
Section1842,B_C,5478,3764,49,0.689,0.704805
Section3806,D_C,1952,3037,100,0.933,0.919908
Section1401,C_D,1224,3677,19,0.504,0.514874
Section3807,B_D,1752,5229,59,0.55,0.469108
Section1257,C_D,1631,3287,21,0.838,0.823799
Section768,D_C,2564,4171,52,0.381,0.361556
Section537,C_D,2102,7540,18,0.653,0.627002
Section583,C_D,3505,6808,31,0.528,0.530892
Section1281,C_D,777,4489,30,0.755,0.798627
Section496,C_D,1939,3127,27,0.811,0.826087
Section776,D_C,11810,3795,63,0.444,0.425629
Section3753,D_C,2188,3086,84,0.87,0.853547
Section3840,D_C,1874,5900,91,0.949,0.942792
Section4129,D_C,1992,2922,84,0.866,0.819222
Section732,D_C,5516,3143,61,0.606,0.512586
Section540,C_D,1973,5278,21,0.757,0.736842
Section975,C_D,1579,6066,17,0.518,0.512586
