Section676,4310,1305,3302,2297,1876,1504,0,69
Section798,4851,1468,3304,1313,3692,1350,34,39
Section715,10785,3262,3306,1772,6086,2987,0,53
Section835,12697,3839,3307,2098,6051,3509,0,63
Section714,5297,1602,3306,1122,4719,1814,79,33
Section719,10716,3239,3308,2044,5241,4964,0,61
Section718,5229,1580,3309,835,6262,1513,865,25
Section3817,2016,5040,400,375,5374,664,0,93
Section3934,2500,3570,700,227,10972,1389,32,32
Section3813,2094,5234,400,306,6842,908,0,76
Section1235,5353,1620,3304,2039,2625,723,0,61
Section3776,1872,4680,400,392,4770,1824,0,98
Section3778,2204,5510,400,379,5810,2190,0,94
Section791,4118,3210,1282,825,4990,561,0,64
Section3410,2957,4224,700,519,5687,859,10,74
Section4586,2894,4134,700,405,7136,2445,736,57
Section394,2564,3662,700,686,3737,924,0,98
Section3098,14621,4415,3311,2061,7094,3576,841,62
Section674,2538,3624,700,690,3673,378,0,98
Section4186,2834,4048,700,684,4140,2206,0,97
Section397,4166,1261,3303,2014,2068,397,0,60
Section4463,2238,677,3305,956,2341,5256,52,28
Section1230,3506,1061,3304,735,4769,1757,0,22
Section700,2654,803,3305,840,3157,3767,0,25
Section3270,2374,3390,700,679,3496,2777,0,97
Section789,3222,3222,1000,689,4672,2058,0,68
Section786,10190,3081,3307,2101,4848,579,0,63
Section308,19163,10137,1890,1073,17846,237,431,56
Section306,1841,557,3305,338,5438,867,0,10
Section708,7727,2337,3306,2258,3421,1328,0,68
Section4634,2573,2659,967,452,5680,2620,0,46
Section3787,1872,4680,400,375,4984,1216,0,93
Section1401,1224,370,3308,631,1937,3677,0,19
Section781,2239,677,3307,838,2669,1403,0,25
Section3783,2172,5430,400,389,5574,1967,0,97
Section382,4551,3241,1404,863,5270,1428,112,61
Section4473,3025,1512,2000,346,8741,2610,0,17
Section3780,2088,5220,400,319,6538,1433,128,79
Section785,3855,1164,3311,1394,2764,2418,0,42
Section4233,4416,1336,3305,978,4514,1128,88,29
Section540,1973,596,3310,725,2719,5278,0,21
Section783,16214,4898,3310,2088,7765,1264,0,63
Section975,1579,477,3310,586,2690,6066,0,17
Section852,5571,1685,3306,2240,2486,3498,0,67
Section698,2317,3309,700,393,5883,4314,303,56
Section732,5516,1669,3304,2038,2706,3143,0,61
Section737,3374,1021,3304,724,4657,1671,520,21
Section738,36032,19015,1894,1518,23731,643,648,80
Section4092,2992,4272,700,668,4474,1197,15,95
Section3836,1932,2760,700,622,3103,1531,0,88
Section3838,2084,5210,400,302,6898,1366,0,75
Section4129,1992,4980,400,339,5868,2922,0,84
Section1257,1631,493,3308,719,2266,3287,0,21
Section1132,2298,695,3306,836,2746,7253,0,25
Section4127,7199,9341,770,474,15186,7,335,61
Section4126,1868,4670,400,395,4729,1472,0,98
Section3670,2416,3450,700,664,3636,926,0,94
Section333,4468,1352,3304,1011,4416,1953,0,30
Section697,3804,1152,3302,1143,3326,2101,0,34
Section1250,505,721,700,192,2618,4528,240,27
Section730,3253,984,3305,1009,3223,2735,155,30
Section695,2392,3416,700,614,3892,3215,0,87
Section970,5500,1663,3307,1074,5120,4306,0,32
Section3291,2800,4000,700,605,4621,2892,1,86
Section4141,2286,5714,400,218,10484,1230,0,54
Section1270,4181,1265,3305,1440,2903,1409,0,43
Section325,3473,1051,3304,1665,2085,254,0,50
Section3847,1976,2822,700,625,3159,3086,0,89
Section3843,1944,2776,700,654,2970,851,0,93
Section4139,1872,4680,400,391,4779,2920,0,97
Section4532,2550,3642,700,609,4183,1333,56,87
Section4135,2098,5244,400,358,5854,1568,0,89
Section4137,1950,2784,700,708,2752,65,0,101
Section4016,4539,1373,3305,1791,2533,741,0,54
Section3840,1874,4684,400,365,5121,5900,0,91
Section1421,2632,3760,700,644,4085,1725,0,92
Section322,2654,3790,700,359,7373,572,0,51
Section4131,2122,3030,700,671,3160,1981,0,95
Section2350,2346,2730,859,244,9609,2214,0,28
Section4133,1976,2822,700,635,3109,3775,0,90
Section1281,777,777,1000,308,2515,4489,21,30
Section754,6068,1834,3308,1362,4454,1514,0,41
Section999,5065,1530,3310,1994,2540,4940,0,60
Section758,12485,3774,3308,1900,6569,1710,0,57
Section4669,57390,18871,3041,1098,52260,710,3315,36
Section351,4435,3251,1364,294,15064,2850,0,21
Section3695,3128,4468,700,701,4456,903,0,100
Section4025,2866,4093,700,690,4151,697,48,98
Section3175,3584,1083,3309,1199,2987,2941,0,36
Section4142,3338,4767,700,399,8346,1790,0,57
Section752,6049,1828,3309,926,6532,1688,1501,27
Section477,9113,2754,3309,2017,4518,2171,0,60
Section4145,2690,3842,700,441,6096,1278,0,63
Section349,2648,3782,700,466,5672,2621,0,66
Section1292,1706,516,3306,717,2378,4776,82,21
Section748,1835,556,3300,434,4222,1570,0,13
Section3748,2270,3242,700,272,8345,1824,0,38
Section3622,1914,578,3311,1144,1672,1866,0,34
Section3985,4129,3073,1343,790,5221,318,0,58
Section3746,2530,3614,700,520,4858,2223,0,74
Section1842,5478,3693,1483,727,7532,3764,368,49
Section583,3505,1059,3309,1042,3363,6808,0,31
Section740,5525,3908,1413,791,6982,1371,0,55
Section584,636,192,3312,351,1810,5125,0,10
Section1284,4865,3859,1260,725,6702,334,0,57
Section1285,2212,669,3306,431,5124,2630,309,13
Section778,2638,799,3301,1429,1846,3150,0,43
Section379,2516,3594,700,593,4237,1183,25,84
Section775,1835,1835,1000,424,4325,2356,0,42
Section776,11810,3569,3309,2091,5648,3795,0,63
Section779,2606,789,3302,1479,1761,2402,0,44
Section537,2102,635,3310,602,3489,7540,0,18
Section1219,2043,618,3305,286,7136,4757,0,8
Section3915,3206,4580,700,596,5373,2193,88,85
Section4327,2934,888,3304,1247,2352,1847,0,37
Section3757,2310,5774,400,308,7479,2938,0,77
Section4724,3342,4773,700,683,4886,1183,0,97
Section2782,2159,653,3306,657,3282,698,0,19
Section1176,3039,919,3306,940,3231,5167,0,28
Section3750,2130,5324,400,297,7148,575,0,74
Section4047,4351,4304,1010,484,8986,1722,152,47
Section3753,2188,5470,400,337,6483,3086,0,84
Section4049,2682,3830,700,493,5436,2802,86,70
Section1212,6943,2097,3310,2070,3354,4408,0,62
Section652,4404,1332,3306,2350,1874,963,0,71
Section2261,1060,320,3312,470,2255,3741,476,14
Section1172,3459,1045,3310,847,4081,6513,0,25
Section2262,2598,3710,700,629,4128,2682,0,89
Section774,3576,2317,1543,397,8987,942,0,25
Section1294,2558,774,3304,918,2785,3358,226,27
Section4288,2620,3742,700,668,3921,1573,0,95
Section496,1939,586,3308,896,2164,3127,0,27
Section3353,2372,3388,700,498,4756,2987,0,71
Section2781,4042,1222,3307,802,5038,6336,0,24
Section4166,2390,3414,700,685,3488,780,0,97
Section768,2564,776,3304,1726,1485,4171,0,52
Section3807,1752,2502,700,413,4233,5229,0,59
Section3806,1952,4880,400,401,4862,3037,0,100
Section3927,5160,1561,3305,410,12583,189,155,12
Section3644,2712,3874,700,662,4092,938,77,94
Section4334,2376,3394,700,561,4228,2558,0,80
Section363,2836,4050,700,312,9072,176,0,44
Section3367,507,507,1000,308,1642,2661,115,30
Section367,4571,1384,3302,527,8667,179,0,15
Section760,2503,758,3302,1379,1815,4588,0,41
Section640,2890,4128,700,680,4247,2008,2,97
